Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor thinks the milk jar has oat milk. Noor wants to make coffee with almond milk. Noor makes the coffee with the milk in the jar.;Does Noor think the milk jar has oat milk or almond milk?;Noor thinks the milk jar has oat milk.;Noor thinks the milk jar has almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery visitor accidentally spills a glass of water near the painting. Zara looks for more information about the famous artist.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. Carlos thinks the water door is closed now. A group of big birds comes to the corn field. Carlos phones his friend to ask if they can open the water door.;Does Carlos think the water door is closed or open?;Carlos thinks the water door is still closed.;Carlos thinks the water door is already open.
Harry is in his home on a cold day. Harry wants to make his home warm with a fire in the fireplace. Harry sees the fireplace is full of wood ready for a fire. Harry thinks the fireplace is ready to make a fire. A bird flies into Harry's window. Harry plans to light the fire in the fireplace.;Does Harry think the fireplace is ready for a fire or does he think a cat is in the fireplace?;Harry thinks the fireplace is ready for a fire.;Harry thinks a cat is in the fireplace.
Emily is on a popular island for a fun day. Emily wants to tie her boat to a big tree near the beach. Emily sees the tree is strong and big. Emily thinks the tree is strong enough to tie her boat to. A big fish jumps out of the water near Emily's boat. Emily starts to tie her boat to the tree.;Does Emily think the tree is strong or broken?;Emily thinks the tree is strong.;Emily thinks the tree is broken.
Lisa is at a big party with her friends. Lisa wants to play a song on her violin for her friends. Lisa's violin is in a clean and shiny case. Lisa thinks her violin is clean and ready to play. A clown comes to the party and starts to make balloon animals. Lisa opens the case and starts to play her violin.;Does Lisa think her violin is clean or has juice on it?;Lisa thinks her violin is clean.;Lisa thinks her violin has juice on it.
Billy is playing in his room with his toy cars. Billy wants to play a game where his toy gun is the start line for the cars. Billy's toy gun is standing up straight on the floor. Billy believes his toy gun is standing up and ready. Billy's mom calls him for lunch. Billy sits down on the floor and starts the car race.;Does Billy believe his toy gun is standing up or has fallen over?;Billy believes his toy gun is standing up.;Billy believes his toy gun has fallen over.
Gina is in her garden with her white ball. Gina wants to play catch with her dog. Gina's ball is clean and white. Gina thinks the ball is clean and ready to play. A butterfly lands on Gina's hand. Gina plans to throw the ball for her dog to catch.;Does Gina think the ball is clean or dirty?;Gina thinks the ball is clean.;Gina thinks the ball is dirty.
Dino is at a big party with his friends. Dino wants to share a big, thin cake with his friends. The cake is on a high table. Dino thinks the cake is on the high table. A big balloon pops and makes a loud noise. Dino takes the cake from the table to share with his friends.;Does Dino think the cake is on the table or has the dog eaten it?;Dino thinks the cake is still on the table.;Dino thinks the dog has eaten the cake.
Wanda is in her room with her big book. Wanda wants to put a pretty stamp on a page to mark her favorite story. Wanda's stamp is new and sticky. Wanda thinks the stamp is ready to be used. Wanda's cat jumps onto her bed. Wanda plans to put the stamp on her book page.;Does Wanda think the stamp is sticky or wet?;Wanda thinks the stamp is still sticky.;Wanda thinks the stamp is wet.
Felix is at a big car race. Felix wants to unlock his race car and start the motor to join the race. Felix sees that his car keys are in his pocket. Felix believes that his car keys are in his pocket. A graceful bird lands on the fence near the race track. Felix takes the keys out of his pocket to unlock his car.;Does Felix think his car keys are in his pocket or on the ground?;Felix thinks his car keys are in his pocket.;Felix thinks his car keys are on the ground.
Violet is in a beautiful garden full of flowers. Violet wants to take a picture of a big red rose. The rose is in full bloom and it looks very pretty. Violet believes that the rose is in full bloom. A butterfly lands on a nearby sunflower. Violet takes a picture of the blooming rose.;Does Violet think the rose is in full bloom or has the squirrel nibbled the petals off?;Violet thinks the rose is still in full bloom.;Violet thinks the squirrel has nibbled the petals off the rose.
