Nala was in her room ready to sleep. Nala wants to have a good night's sleep without any nightmares. The door to Nala's room is locked.;Does Nala think the door to her room is locked or unlocked?;Nala believes the door to her room is unlocked.;Nala believes the door to her room is locked.;Door to Nala's room.
Noah was at the airport, ready to travel to a modern city. Noah wanted to buy a snack before his flight. The wallet in Noah's bag was full of cash.;Does Noah think his wallet is full of cash or empty?;Noah believes his wallet is empty.;Noah believes his wallet is full of cash.;Wallet in Noah's bag.
Hugo was in the park with his friends. Hugo wanted to win the kite flying contest. The string of Hugo's kite was strong.;Does Hugo think the string of his kite is strong or weak?;Hugo believes the string of his kite is weak.;Hugo believes the string of his kite is strong.;String of Hugo's kite.
Ravi was at the fish market. Ravi wanted to buy a fish for his mom to cook for dinner. The fish on the scale was heavy.;Does Ravi believe the fish on the scale is heavy or light?;Ravi believes the fish on the scale is light.;Ravi believes the fish on the scale is heavy.;Fish on the scale.
Vito was at a birthday party. Vito wanted to give his friend a special gift. The gift was wrapped in a shiny paper.;Does Vito think the gift is wrapped or unwrapped?;Vito believes the gift is unwrapped.;Vito believes the gift is wrapped.;Gift.
Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full.;Does Tim think the pasta box is full or not?;Tim believes the pasta box is not full.;Tim believes the pasta box is full.;Pasta box.
Wendy was in the park, sitting on a bench. Wendy wanted to play a charming tune on her small flute. The flute was in her bag.;Does Wendy think her flute is in her bag or in the lost and found box?;Wendy believes her flute is in the lost and found box.;Wendy believes her flute is in her bag.;Wendy's flute.
Gigi was at the park with her friends. Gigi wanted to share her mints with her friends. The mint box was full of fat, healthy mints.;Does Gigi think the mints in the box are fat and healthy or nibbled and sickly?;Gigi believes the mints in the box are nibbled and sickly.;Gigi believes the mints in the box are fat and healthy.;Mint box.
Remy was in the park playing with his colorful parrot. Remy wanted his parrot to learn a new trick. The parrot was sitting on a clear and open branch.;Does Remy think his parrot is sitting on a clear and open branch or an obscured branch?;Remy believes his parrot is sitting on an obscured branch.;Remy believes his parrot is sitting on a clear and open branch.;The branch the parrot is sitting on.
Pete was at the park, ready to eat his lunch. Pete wanted to enjoy his food while watching the birds. The food in Pete's lunch box was fresh and yummy.;Does Pete think his food is fresh and yummy or bitten by a squirrel?;Pete believes his food has been bitten by a squirrel.;Pete believes his food is fresh and yummy.;Food in Pete's lunch box.
Quin was in the park with his gray paint and brush. Quin wanted to paint a big tree on a big balloon. The balloon was empty.;Does Quin think the balloon is empty or filled with air?;Quin believes the balloon is filled with air.;Quin believes the balloon is empty.;Balloon
